cfg_id,day,ok,aco_pnl,total_pnl,cfg_json,make_offset,min_take_edge,maker_mode,make_portion,soft_cap,skew_strength,ema_alpha
17,0,True,16113.0,16113.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",2,1,join,0.8,60,0,0.25
17,-2,True,15799.0,15799.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",2,1,join,0.8,60,0,0.25
17,-1,True,17223.0,17223.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 1, ""skew_strength"": 0, ""soft_cap"": 60}",2,1,join,0.8,60,0,0.25
18,-2,True,15133.0,15133.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",2,2,join,0.8,60,0,0.25
18,0,True,15599.0,15599.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",2,2,join,0.8,60,0,0.25
19,-2,True,14504.0,14504.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",2,3,join,0.8,60,0,0.25
18,-1,True,16631.0,16631.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 2, ""skew_strength"": 0, ""soft_cap"": 60}",2,2,join,0.8,60,0,0.25
19,-1,True,15647.0,15647.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",2,3,join,0.8,60,0,0.25
19,0,True,14660.0,14660.0,"{""ema_alpha"": 0.25, ""make_offset"": 2, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 3, ""skew_strength"": 0, ""soft_cap"": 60}",2,3,join,0.8,60,0,0.25
20,-2,True,13240.0,13240.0,"{""ema_alpha"": 0.25, ""make_offset"": 3, ""make_portion"": 0.8, ""maker_mode"": ""join"", ""min_take_edge"": 0, ""skew_strength"": 0, ""soft_cap"": 60}",3,0,join,0.8,60,0,0.25
